timestamp,location,temp_c,humidity_pct,rainfall_mm,source
2026-01-01 06:00,Nairobi,18.2,74,0.0,sensor_001
2026-01-01 07:00,Nairobi,19.1,71,0.0,sensor_001
2026-01-01 08:00,Nairobi,21.3,68,0.2,sensor_001
2026-01-01 09:00,Nairobi,23.7,65,0.0,sensor_001
2026-01-01 10:00,Nairobi,25.1,61,0.0,sensor_001
2026-01-01 06:00,Lagos,27.4,82,1.2,sensor_002
2026-01-01 07:00,Lagos,27.9,80,0.8,sensor_002
2026-01-01 08:00,Lagos,28.3,79,0.0,sensor_002
2026-01-01 09:00,Lagos,29.1,77,0.0,sensor_002
2026-01-01 10:00,Lagos,30.2,75,0.0,sensor_002
2026-01-01 06:00,Dhaka,29.8,88,2.4,sensor_003
2026-01-01 07:00,Dhaka,30.1,87,1.8,sensor_003
2026-01-01 08:00,Dhaka,30.9,85,0.0,sensor_003
2026-01-01 09:00,Dhaka,31.4,83,0.0,sensor_003
2026-01-01 10:00,Dhaka,32.0,81,0.0,sensor_003
